"id","naam","adres","latitude","longitude","capaciteit","free_slots","parked_bikes"
"29a39ccd84ae9a4e90cf5e31e6b5215a","318 - De Burlet","De Burletlaan",51.17082,4.42902,28,22,6
"2a36bbe236e10b35ff9d7cff85f2323d","152- Blancefloerlaan","Blancefloerlaan",51.22007,4.37559,35,25,10
"2b83e47cd5acdb6094c047b5ec4c4499","242- Te Boelaerlei","Te Boelaerlei",51.21043,4.45251,36,31,5
"2bf256f629552625bc7ed2dfda069acd","076- Prekersplein","Nationalestraat/Lange Vlierstraat",51.21404,4.39809,22,17,5
"2c0d792ac6e3537760112bcd63b250e6","121- Stuivenbergplein","Stuivenbergplein ro n° 36-1",51.22746,4.43053,30,19,11
"2e0b15174b33ee3bffe4f69d56102aa1","282- De Letter","Letterkundestraat 61",51.18023,4.38087,35,30,5
"2e9ef8f7333ca5fb7b1f33a90ef32176","337 - Verenigde Naties","Verenigde Natieslaan",51.16379,4.35336,24,12,12
"2eb5f0368c69a86a39bc00fab246233a","333 - Frans Adriaenssen / Joma","Frans Adriaenssensst",51.25457,4.44173,30,19,11
"2ef3f43c1a26a374fbf24770683c541a","235- Cogelsplein","Cogelsplein",51.21994,4.45501,35,8,27
"31894b4b5ad4b804ebff0d7be19302d9","126- Lange Dijk","Lange Dijkstraat 46/ Van Aerdtstraat",51.22805,4.41902,35,27,8
"32867a80cd6a8458b3719c44c8e951e6","251- Te Boelaerpark Noord","Arthur Matthyslaan",51.20397,4.45209,30,28,2
"328792ab7004e85e9ac62073065c4421","223- Red Star Line","Montevideostraat",51.23335,4.40311,36,12,24
"33f34b77295cdf6aecc9746e96fbac11","125- Sint-Norbertus","Sint-Norbertusstraat/Van Kerckhovenstraat",51.22596,4.42347,35,33,2
"348411447635ba3f6d0ce88c42b16712","245- AZ Monica","Florent Pauwelslei",51.20681,4.47132,36,21,15
"351a811981297d10c93e9cd388ad889d","002- Centraal Station - Astrid 2","Koningin Astridplein",51.21756,4.42073,36,27,9
"3595794104e6fdac2c20c0ff5279d7a9","101- Premetro Handel","Lange Stuivenbergstraat",51.2241,4.432,35,31,4
"35f8e2b768966f98a20e5f0e9341cdb4","173 - Franklin Roosevelt","Operaplein",51.2202,4.41706,36,35,1
"36ba2d8b108238b02f9b4e1a0e694b26","278- Oversnes","Oversneslaan",51.16533,4.39394,36,36,0
"36e25cb0bf37c14e396e0d37e44b34ae","094- Paleisstraat","Paleisstraat",51.2048,4.3961,31,31,0
"37bbcb3936349cd07cc666a102b60171","216- Zwembad Merksem","Van Heybeeckstraat",51.24727,4.44902,29,21,8
"38daa96efdde0b7bd3a8d48a046d0674","307 - Baron Sadoin","Baron Sadoinestraat",51.17206,4.33825,36,24,12
"398c00ab8a126b129e5b7d2ea9f9a119","054- Ossenmarkt","Pieter Van Hobokenstraat n° 19",51.22186,4.41299,21,0,21
"3a38ba74f5b1e4e7338bbcd1972ffd75","210- Maantjessteenweg","Maantjessteenweg",51.25523,4.43576,36,29,7
"3a70adcc9ba2b83b665c8fcdc41a3e8d","336 -Sneeuwbeslaan","Sneeuwbeslaan/Laarstraat",51.17571,4.39622,35,34,1
"3abb1721b2af6ee54eef3a71fff6df0c","180 - P&R LO 1","Blancefloer - P&R Linkeroever",51.21933,4.34921,36,15,21
"3b8aab62c9537ca3b3db6c1503853356","087- Lange Elzen","Lange Elzenstraat n° 56",51.20066,4.39424,21,13,8
"3bce7bf4e60511c07cd65b1330272d74","009- NMBS Oost","Vandenpeereboomstraat - Plantin Moretuslei",51.20906,4.43602,30,28,2
"3c915b1b99b1951ddf7d8e0d5dc2a842","303-Kambala","Kambalastraat",51.23793,4.40959,36,18,18
