X,Y,OBJECTID,Objecttype,Type_velo,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Objectcode,Gebruik,Aantal_plaatsen,Naam
490659.039955525,6662182.32439503,85341,VELOSTATION,DUBBELZIJDIG,VOETPAD,Verbindingsdok-Oostkaai,9,to 9,Antwerpen,2000,VE_0000225,IN_GEBRUIK,36,225 Verbindingsdok Eilandje
493124.228182911,6662784.77847756,85342,VELOSTATION,DUBBELZIJDIG,GROENZONE,Noordschippersdok,,terug naar Ijzerlaan,Antwerpen,2060,VE_0000226,IN_GEBRUIK,36,226 Noordschippersdok
494758.138625446,6662585.85564127,85343,VELOSTATION,ENKELZIJDIG,PLEIN,Van Cortbeemdelei,113,to 113 oh plein,Deurne,2100,VE_0000227,IN_GEBRUIK,24,227 Amstel
495513.025719343,6662042.25950401,85344,VELOSTATION,ENKELZIJDIG,PLEIN,Van Deynsestraat,120,to 120,Deurne,2100,VE_0000228,IN_GEBRUIK,24,228 Van Heetvelde
495588.879074593,6661419.15750519,85345,VELOSTATION,DUBBELZIJDIG,GROENZONE,Jozef Nellenslei,26,,Deurne,2100,VE_0000229,IN_GEBRUIK,36,229 Jozef Nellens
496705.46565019,6661931.9844662,85346,VELOSTATION,DUBBELZIJDIG,PLEIN,Sint-Fredegandusstraat,80,,Deurne,2100,VE_0000230,IN_GEBRUIK,36,230 Bosuil
497356.3489595,6661954.17004261,85347,VELOSTATION,DUBBELZIJDIG,GROENZONE,Gallifortlei,278,,Deurne,2100,VE_0000231,IN_GEBRUIK,36,231 den Antwerp
498551.553126709,6661810.71964637,85348,VELOSTATION,DUBBELZIJDIG,PLEIN,Wim Saerensplein,25,,Deurne,2100,VE_0000232,IN_GEBRUIK,36,232 Wim Saerens
497160.886727162,6661210.26050581,85349,VELOSTATION,DUBBELZIJDIG,VOETPAD,Gallifortlei,198,,Deurne,2100,VE_0000233,IN_GEBRUIK,36,233 Gallifort
496616.763592419,6660693.17609603,85350,VELOSTATION,ENKELZIJDIG,VOETPAD,Jan Brochovenstraat,28,,Deurne,2100,VE_0000234,IN_GEBRUIK,36,234 Deurne Atheneum
495913.456479229,6660274.89037185,85351,VELOSTATION,DUBBELZIJDIG,PLEIN,Cogelsplein,19-21,,Deurne,2100,VE_0000235,IN_GEBRUIK,36,235 Cogelsplein
496485.594716447,6660154.69980322,85352,VELOSTATION,DUBBELZIJDIG,PLEIN,Maurice Dequeeckerplein,3,to 3,Deurne,2100,VE_0000236,IN_GEBRUIK,36,236 Districthuis Deurne
497508.75695184,6660386.42106931,85353,VELOSTATION,DUBBELZIJDIG,GROENZONE,Ter Rivierenlaan,18,,Deurne,2100,VE_0000237,IN_GEBRUIK,36,237 Ter Rivieren
498227.043678052,6660966.64361696,85354,VELOSTATION,ENKELZIJDIG,VOETPAD,Ertbruggelaan,2,,Deurne,2100,VE_0000238,IN_GEBRUIK,24,238 Ertbrugge
498666.20979552,6660519.75459003,85355,VELOSTATION,ENKELZIJDIG,VOETPAD,Ruggeveldlaan,549,,Deurne,2100,VE_0000239,IN_GEBRUIK,30,239 Zwarte Arend
498952.411965149,6659825.34130097,85356,VELOSTATION,DUBBELZIJDIG,VOETGANGERSZONE,Ruggeveldlaan,,,Deurne,2100,VE_0000240,IN_GEBRUIK,36,240 Park Groot Schijn
495754.784088512,6659146.18210101,85357,VELOSTATION,DUBBELZIJDIG,GROENZONE,Collegelaan,42-44,to 42-44,Borgerhout,2140,VE_0000241,IN_GEBRUIK,36,241 Kerkendijk
495666.400404938,6658576.20744309,85358,VELOSTATION,DUBBELZIJDIG,GROENZONE,Luitenant Lippenslaan,2,to 2,Borgerhout,2140,VE_0000242,IN_GEBRUIK,36,242 Te Boelaerlei
496284.7113536,6658454.73463313,85359,VELOSTATION,DUBBELZIJDIG,GROENZONE,Herentalsebaan,133,,Deurne,2100,VE_0000243,IN_GEBRUIK,36,243 Mestputteke
497076.768923558,6658131.00475551,85360,VELOSTATION,DUBBELZIJDIG,PARKEERZONE,Herentalsebaan,299,,Deurne,2100,VE_0000244,IN_GEBRUIK,36,244 Waterbaan
497744.722675559,6657958.13427721,85361,VELOSTATION,ENKELZIJDIG,GROENZONE,Florent Pauwelslei,1,to 18,Deurne,2100,VE_0000245,IN_GEBRUIK,36,245 AZ Monica
496304.370025129,6658006.15003066,85362,VELOSTATION,DUBBELZIJDIG,GROENZONE,Arenaplein,1,to 1,Deurne,2100,VE_0000246,IN_GEBRUIK,36,246 Arena
494922.791961977,6658222.34054305,85363,VELOSTATION,ENKELZIJDIG,VOETPAD,Luitenant Lippenslaan,55-59,,Borgerhout,2140,VE_0000247,IN_GEBRUIK,36,247 ZNA Erasmus
495281.48563452,6657802.00965369,85364,VELOSTATION,DUBBELZIJDIG,GROENZONE,Berchemlei,67,to 67 thv De Schans,Borgerhout,2140,VE_0000248,IN_GEBRUIK,36,248 De Schans
494728.681971945,6657421.0367464,85365,VELOSTATION,DUBBELZIJDIG,VOETPAD,Frans De Vriendtstraat,61,to 61,Borgerhout,2140,VE_0000249,IN_GEBRUIK,30,249 Frans de Vriendt
494148.861807114,6656929.88323566,85366,VELOSTATION,DUBBELZIJDIG,VOETPAD,Diksmuidelaan,8,hoek Herculusstraat,Berchem,2600,VE_0000250,IN_GEBRUIK,36,250 Borsbeekbrug
495594.208346156,6657449.09079338,85367,VELOSTATION,DUBBELZIJDIG,GROENZONE,Arthur Matthyslaan,76,"to 76, to Thibautstraat",Borgerhout,2140,VE_0000251,IN_GEBRUIK,30,251Te Boelaerpark Noord
495399.867098726,6656771.03948325,85368,VELOSTATION,ENKELZIJDIG,VOETPAD,Karel De Preterlei,222,to 222,Borgerhout,2140,VE_0000252,IN_GEBRUIK,33,252 Te Boelaerpark/Gitschotelei
495743.758675884,6656416.49950359,85369,VELOSTATION,ENKELZIJDIG,PLEIN,Vosstraat,19,,Borgerhout,2140,VE_0000253,IN_GEBRUIK,36,253 Vosplein
496437.25855379,6656316.90952845,85370,VELOSTATION,DUBBELZIJDIG,MIDDENBERM,Boekenberglei,189,,Deurne,2100,VE_0000254,IN_GEBRUIK,30,254 Sint-Jozef
497331.001987407,6657488.03050448,85371,VELOSTATION,ENKELZIJDIG,GROENZONE,Van Den Hautelei,90,to 90,Deurne,2100,VE_0000255,IN_GEBRUIK,36,255 Van den Haute
494506.071359675,6655940.36218936,85372,VELOSTATION,ENKELZIJDIG,VOETPAD,Helderstraat,59,,Berchem,2600,VE_0000256,IN_GEBRUIK,27,256 Zillebeek
495236.093473551,6655386.57550734,85373,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Hofstadestraat,,hoek Klerkenstraat,Berchem,2600,VE_0000257,IN_GEBRUIK,36,257 Hofstade
494694.329540587,6656310.74228371,85374,VELOSTATION,ENKELZIJDIG,GROENZONE,Lodewijk Van Berckenlaan,127,to 127,Berchem,2600,VE_0000258,IN_GEBRUIK,30,258 Hof van Nauwelaerts
493925.453550812,6655568.70763264,85375,VELOSTATION,DUBBELZIJDIG,GROENZONE,Posthofbrug,,thv Arbeidersstraat,Berchem,2600,VE_0000259,IN_GEBRUIK,36,259 Posthofbrug
492218.635427506,6654921.8641605,85376,VELOSTATION,ENKELZIJDIG,GROENZONE,Hof Ter Schriecklaan,1,,Berchem,2600,VE_0000260,IN_GEBRUIK,27,260 Ter Schriek
493095.790186111,6654740.80262813,85377,VELOSTATION,DUBBELZIJDIG,GROENZONE,Henri Prostlaan,5,eind vd keerlus,Berchem,2600,VE_0000261,IN_GEBRUIK,36,261 Brilschans
493758.173366927,6654849.61747735,85378,VELOSTATION,DUBBELZIJDIG,GROENZONE,Rooi,,thv Achtersteveld,Berchem,2600,VE_0000262,IN_GEBRUIK,36,262 Hoogveld
494354.233386333,6653986.47731522,85379,VELOSTATION,ENKELZIJDIG,MIDDENBERM,Fruithoflaan,85,to 85 middenberm,Berchem,2600,VE_0000263,IN_GEBRUIK,36,263 Fruithoflaan 2
